,target_table,target_column,source_table,source_column,domain,confidence,confidence_level,validation_method,reasoning,candidates_found,uuid_hash,processed_at
0,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,INV,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,1139c1a0eaf1edb26e43ce9370d308a1,2025-06-15T18:18:12.497199
1,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,INVESTOR_HIGHLY_LIKELY,PERS,CUSTKEYWORD,customer,5.804595947265625,very_low,similarity_match,similarity_match with 5.8% confidence,10,0eb820a3160aff67123adf9d3ce35ede,2025-06-15T18:18:12.584537
2,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,INVESTOR_LIKELY,PERS,CREDITREPORTCONSINFOCD,customer,3.962383270263672,very_low,similarity_match,similarity_match with 4.0% confidence,10,e144b48498b7a41608eb725a27acfc33,2025-06-15T18:18:12.665783
3,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,LENABLEHE,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,0b2bc788b5518ceae6bcb391a086b21e,2025-06-15T18:18:12.769014
4,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,LENDER,PERSEMPL,LENDLIMITAMT,customer,2.659270763397217,very_low,similarity_match,similarity_match with 2.7% confidence,10,f2154c27af33dd7d860a46995f4bdcde,2025-06-15T18:18:12.867915
5,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,LENGTHOFRE,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,7c001a026095c52beaaeedc5dc765f29,2025-06-15T18:18:12.991638
6,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,LOAN,PERSVENDOR,INACTIVEDATE,customer,5.108747482299805,very_low,similarity_match,similarity_match with 5.1% confidence,10,d6e666f4d702e1ae0fb1b75921ea84d5,2025-06-15T18:18:13.093774
7,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,LOAN_AMOUNT,PERSVENDOR,RPT1099MYN,customer,9.90776777267456,very_low,similarity_match,similarity_match with 9.9% confidence,10,6e9fcbe364cca798fe7499d2f5f2c1d9,2025-06-15T18:18:13.192674
8,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,MARTIAL,NO_MATCH,NO_MATCH,customer,0,none,no_match,No suitable candidates found,10,e70eb456825a429c7963f9d9241740a4,2025-06-15T18:18:13.290734
9,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,MOST_RECENT_DATE,PERSVENDOR,EFFDATE,customer,7.740960121154785,very_low,similarity_match,similarity_match with 7.7% confidence,10,32cc2c8663022132160ebce2d4184e6e,2025-06-15T18:18:13.386753
