,target_table,target_column,target_field,source_table,source_column,confidence_score,mapping_type,business_reasoning,llm_provider,llm_enhanced,langgraph_iterations,final_confidence,improvement_attempted,source_matches_count,data_quality_concerns,alternate_mappings_count,processing_timestamp,batch_number,is_test_record
1,ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_ID,VIEW_ACHFILERECORDWAREHOUSE,COMPANYID,90,banking_rule,Limit amount for transaction controls,banking_rules,false,1,90,false,10,,2,2025-06-17T14:39:51.708213,1,false
2,ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_NAME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_NAME,VIEW_ACHFILERECORDWAREHOUSE,COMPANYNAME,89,banking_rule,Limit amount for transaction controls,banking_rules,false,1,89,false,10,,2,2025-06-17T14:39:53.912697,1,false
309,ACCOUNT_ASSETS,SYMBOL,ACCOUNT_ASSETS.SYMBOL,SECURITYVALUE,SYMBOL,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:00:43.753517,4,false
521,ACCOUNT_ASSETS_INTEREST_RATES,RATE,ACCOUNT_ASSETS_INTEREST_RATES.RATE,WH_EXTENTITY,RATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:14:45.728328,6,false
617,ACCOUNT_BOUNCE_PROTECTION,STATUS,ACCOUNT_BOUNCE_PROTECTION.STATUS,VIEW_ESC_HIST,STATUS,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:20:10.562032,7,false
765,ACCOUNT_CROSS_SELL_LAYOUT,NAME,ACCOUNT_CROSS_SELL_LAYOUT.NAME,STAGLOANTRIAL,NAME,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:28:32.079738,8,false
777,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,CITY,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:29:09.124796,8,false
778,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,STATE,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:29:10.712724,8,false
792,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,AGE,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT.AGE,STAGSEARCHFORPARTY,AGE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:30:01.499381,8,false
881,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT,ZIP5,ACCOUNT_CUSTOMER_DEMOGRAPHY_AND_PROFIT.ZIP5,STAGBANKMATCH,ZIP5,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:35:29.963005,9,false
929,ACCOUNT_DEALER,CITY,ACCOUNT_DEALER.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:38:00.275165,10,false
930,ACCOUNT_DEALER,STATE,ACCOUNT_DEALER.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:38:01.536452,10,false
1269,ACCOUNT_FASB91_COST,RATE,ACCOUNT_FASB91_COST.RATE,WH_EXTENTITY,RATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:58:39.676680,13,false
1290,ACCOUNT_FUNDING_ACCOUNT_INFORMATION,PAN,ACCOUNT_FUNDING_ACCOUNT_INFORMATION.PAN,VIEW_CARDISSVIEW_PCI,PAN,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T15:59:45.381161,13,false
1922,ACCOUNT_LOAN_COLLECTION,OFFICER,ACCOUNT_LOAN_COLLECTION.OFFICER,RW_LNOFFDISBURSE,OFFICER,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T16:38:16.179219,20,false
1923,ACCOUNT_LOAN_COLLECTION,STATUS,ACCOUNT_LOAN_COLLECTION.STATUS,VIEW_ESC_HIST,STATUS,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T16:38:17.453428,20,false
2406,ACCOUNT_MORTGAGE,CITY,ACCOUNT_MORTGAGE.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:06:18.953597,25,false
2408,ACCOUNT_MORTGAGE,STATE,ACCOUNT_MORTGAGE.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:06:22.815576,25,false
2492,ACCOUNT_ONLINE_BANKING_USER_DETAIL,FIRST_NAME,ACCOUNT_ONLINE_BANKING_USER_DETAIL.FIRST_NAME,STAGBANKMATCH,FIRST_NAME,100,banking_rule,Customer first name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:11:02.960533,25,false
2494,ACCOUNT_ONLINE_BANKING_USER_DETAIL,LAST_NAME,ACCOUNT_ONLINE_BANKING_USER_DETAIL.LAST_NAME,STAGBANKMATCH,LAST_NAME,100,banking_rule,Customer last name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:11:08.009003,25,false
2517,ACCOUNT_ONLINE_BANKING_USER_DETAIL,CITY,ACCOUNT_ONLINE_BANKING_USER_DETAIL.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:12:42.313076,26,false
2518,ACCOUNT_ONLINE_BANKING_USER_DETAIL,STATE,ACCOUNT_ONLINE_BANKING_USER_DETAIL.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:12:43.602893,26,false
2581,ACCOUNT_ONLINE_MOBILE_DEPOSIT,FIRST_NAME,ACCOUNT_ONLINE_MOBILE_DEPOSIT.FIRST_NAME,STAGBANKMATCH,FIRST_NAME,100,banking_rule,Customer first name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:16:40.456177,26,false
2582,ACCOUNT_ONLINE_MOBILE_DEPOSIT,LAST_NAME,ACCOUNT_ONLINE_MOBILE_DEPOSIT.LAST_NAME,STAGBANKMATCH,LAST_NAME,100,banking_rule,Customer last name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:16:41.773416,26,false
2601,ACCOUNT_ONLINE_MOBILE_DEPOSIT_ENROLLMENT,FIRST_NAME,ACCOUNT_ONLINE_MOBILE_DEPOSIT_ENROLLMENT.FIRST_NAME,STAGBANKMATCH,FIRST_NAME,100,banking_rule,Customer first name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:17:49.129328,27,false
2602,ACCOUNT_ONLINE_MOBILE_DEPOSIT_ENROLLMENT,LAST_NAME,ACCOUNT_ONLINE_MOBILE_DEPOSIT_ENROLLMENT.LAST_NAME,STAGBANKMATCH,LAST_NAME,100,banking_rule,Customer last name for identification,banking_rules,false,1,100,false,10,,2,2025-06-17T17:17:50.851143,27,false
2685,ACCOUNT_PROFIT,AGE,ACCOUNT_PROFIT.AGE,STAGSEARCHFORPARTY,AGE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:22:51.611280,27,false
2688,ACCOUNT_PROFIT,CITY,ACCOUNT_PROFIT.CITY,STAGBANKMATCH,CITY,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:22:58.873112,27,false
2710,ACCOUNT_PROFIT,STATE,ACCOUNT_PROFIT.STATE,STAGBANKMATCH,STATE,100,similarity_based,Similarity-based mapping with score: 1.000,rule_based,false,1,100,false,10,,2,2025-06-17T17:23:58.322729,28,false
