target_table,target_column,target_field,source_table,source_column,confidence_score,mapping_type,business_reasoning,llm_provider,llm_enhanced,langgraph_iterations,final_confidence,improvement_attempted,source_matches_count,data_quality_concerns,alternate_mappings_count,processing_timestamp,batch_number
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ANB_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ANB_ID,VIEW_ACTVSUBACTV_PCI,TABLEID,41,similarity_based,Similarity-based mapping with score: 0.413,rule_based,False,2,41,True,10,,2,2025-06-16T00:37:39.680145,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_ID,VIEW_ACHFILERECORDWAREHOUSE,COMPANYNAME,51,similarity_based,Similarity-based mapping with score: 0.518,rule_based,False,2,51,True,10,,2,2025-06-16T00:37:42.239015,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_NAME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_NAME,TABLECOLUMNDESCDATA,COLUMNNAME,49,similarity_based,Similarity-based mapping with score: 0.493,rule_based,False,2,49,True,10,,2,2025-06-16T00:37:44.590199,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_ID,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_ID,CTRYADDRFORMAT,ADDRCOMPTYPCD,37,similarity_based,Similarity-based mapping with score: 0.373,rule_based,False,2,37,True,10,,2,2025-06-16T00:37:47.176472,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_NAME,ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_NAME,VIEW_ACHFILERECORDWAREHOUSE,COMPANYENTRYDESC,40,similarity_based,Similarity-based mapping with score: 0.406,rule_based,False,2,40,True,10,,2,2025-06-16T00:37:49.899849,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,MARKET_SEGMENT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.MARKET_SEGMENT,WH_DEPOSIT,RETIREMENT,44,similarity_based,Similarity-based mapping with score: 0.443,rule_based,False,2,44,True,10,,2,2025-06-16T00:37:52.499130,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,BUSINESS_UNIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.BUSINESS_UNIT,VIEW_WH_ACCTCOMMON,BUSINESSPHONE,53,similarity_based,Similarity-based mapping with score: 0.535,rule_based,False,2,53,True,10,,2,2025-06-16T00:37:54.897791,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,WH_ACCT,TRANSACTIONACCTYN,33,similarity_based,Similarity-based mapping with score: 0.333,rule_based,False,2,33,True,7,,2,2025-06-16T00:37:58.448304,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,WH_ACCT,TRANSACTIONACCTYN,31,similarity_based,Similarity-based mapping with score: 0.319,rule_based,False,2,31,True,7,,2,2025-06-16T00:38:01.882728,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_CREDIT_COUNT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_CREDIT_COUNT,WORKITEM,COLLBATCHRESULTNBR,30,similarity_based,Similarity-based mapping with score: 0.308,rule_based,False,2,30,True,10,,2,2025-06-16T00:38:05.283344,1
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_COUNT_DEBIT,ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_COUNT_DEBIT,WH_ACCTLOAN,TOTALPAYMENTSDUE,30,similarity_based,Similarity-based mapping with score: 0.302,rule_based,False,2,30,True,6,,2,2025-06-16T00:38:09.274241,1
