table_name,column_name,domain,business_meaning,data_type,confidence_boost,domain_priority,validation_rules,examples,unique_key,processed_at
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ANB_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ANB_ID,2025-06-15T22:54:00.413816
ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_ID,2025-06-15T22:54:00.413816
ACCOUNT_ACH_BATCH_LIMIT_REPORT,COMPANY_NAME,account,Account name field for identification and display purposes,varchar,15,5,,"John Smith,Jane Doe,Robert Johnson",ACCOUNT_ACH_BATCH_LIMIT_REPORT.COMPANY_NAME,2025-06-15T22:54:00.415880
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_ID,account,Account identifier field for system linking and relationship management,bigint,20,5,"not_null,unique","1001234567,2001234568,3001234569",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_ID,2025-06-15T22:54:00.417216
ACCOUNT_ACH_BATCH_LIMIT_REPORT,ACH_COMPANY_NAME,account,Account name field for identification and display purposes,varchar,15,5,,"John Smith,Jane Doe,Robert Johnson",ACCOUNT_ACH_BATCH_LIMIT_REPORT.ACH_COMPANY_NAME,2025-06-15T22:54:00.418535
ACCOUNT_ACH_BATCH_LIMIT_REPORT,MARKET_SEGMENT,account,Account field MARKET_SEGMENT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_market_segment_1,sample_market_segment_2,sample_market_segment_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.MARKET_SEGMENT,2025-06-15T22:54:00.418535
ACCOUNT_ACH_BATCH_LIMIT_REPORT,BUSINESS_UNIT,account,Account field BUSINESS_UNIT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,varchar,10,5,,"sample_business_unit_1,sample_business_unit_2,sample_business_unit_3",ACCOUNT_ACH_BATCH_LIMIT_REPORT.BUSINESS_UNIT,2025-06-15T22:54:00.420988
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_CREDIT_AMOUNT,2025-06-15T22:54:00.422580
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_TRANSACTION_DEBIT_AMOUNT,2025-06-15T22:54:00.423749
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_CREDIT_COUNT,account,Account field TOTAL_DAILY_BATCH_CREDIT_COUNT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_CREDIT_COUNT,2025-06-15T22:54:00.425991
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_COUNT_DEBIT,account,Account field TOTAL_DAILY_BATCH_COUNT_DEBIT in ACCOUNT_ACH_BATCH_LIMIT_REPORT for business operations,bigint,10,5,,"12345,67890,54321",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_COUNT_DEBIT,2025-06-15T22:54:00.426995
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_CREDIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_CREDIT_AMOUNT,2025-06-15T22:54:00.427824
ACCOUNT_ACH_BATCH_LIMIT_REPORT,TOTAL_DAILY_BATCH_DEBIT_AMOUNT,account,Account financial field for monetary calculations and reporting,decimal,25,5,"numeric,non_negative","1250.50,5000.00,750.25",ACCOUNT_ACH_BATCH_LIMIT_REPORT.TOTAL_DAILY_BATCH_DEBIT_AMOUNT,2025-06-15T22:54:00.430067
